0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4, 1157, 4.4580, 4.0000, 0.0009, 0.0170, 7.3000, 0.4580, -762.2300, 1579.5639, 11.5000, 26.2000, 0.0003, 0.4779, 126.5138, 0.7864, 0.1651, 33.0000, 0.0419, 9.7656, 1.5649, 6.9695, 3.1000, 47.8527, 8.6500, 13.0936, 16.2815, 79.0427, 8.0000, 0.0315, 0.6397
5, 1923, 4.9744, 4.0000, 0.0007, 0.0160, 8.5000, 0.3590, -754.8500, 2479.0202, 14.5000, 26.0000, 0.0002, 0.5432, 89.1632, 0.7923, 0.1587, 36.0000, 0.0618, 9.5800, 1.6346, 7.9231, 5.5000, 42.1565, 9.3100, 13.8385, 17.3231, 112.1538, 12.0000, 0.0330, 0.6914
6, 2865, 4.7926, 4.0000, 0.0005, 0.0229, 7.9000, 0.4101, -903.5800, 2308.1495, 18.0000, 31.0000, 0.0001, 0.4866, 138.7117, 0.7832, 0.1622, 56.0000, 0.0459, 10.1346, 1.6267, 7.3779, 3.1000, 37.7488, 9.9700, 15.6954, 19.5889, 72.0920, 14.0000, 0.0316, 0.6205
7, 4132, 4.6022, 4.0000, 0.0007, 0.0257, 7.5000, 0.4677, -904.1300, 1888.0117, 14.5000, 31.0000, 0.0002, 0.4375, 125.8681, 0.7869, 0.1646, 63.0000, 0.0343, 10.2579, 1.5484, 6.6398, 7.2000, 44.3765, 8.9600, 14.7710, 18.2065, 79.4483, 13.0000, 0.0228, 0.5938
8, 5186, 4.5080, 4.0000, 0.0005, 0.0283, 7.0000, 0.4345, -1145.2200, 1792.8154, 14.0000, 39.1250, 0.0001, 0.3333, 131.0158, 0.7785, 0.1677, 81.0000, 0.0359, 11.1438, 1.4345, 6.7508, 5.1000, 45.7640, 8.6800, 16.5959, 20.2506, 76.3267, 15.0000, 0.0254, 0.4984
9, 6918, 4.7357, 4.0000, 0.0006, 0.0271, 8.2000, 0.4097, -732.2700, 2049.4256, 8.5000, 25.2222, 0.0001, 0.4237, 128.9141, 0.7759, 0.1609, 63.0000, 0.0474, 10.4550, 1.5242, 7.1806, 5.0000, 52.2847, 8.7700, 12.2326, 16.2563, 77.5710, 17.0000, 0.0361, 0.5763
10, 8251, 4.5660, 5.0000, 0.0004, 0.0238, 11.9000, 0.3396, -765.4000, 2051.9132, 14.5000, 26.5000, 0.0003, 0.5364, 236.3636, 0.8316, 0.1416, 25.0000, 0.0581, 9.5640, 1.7642, 7.0094, 8.1000, 30.6903, 10.4100, 15.5620, 20.0340, 42.3077, 10.0000, 0.0030, 0.6455
11, 8925, 4.4011, 4.0000, 0.0004, 0.0304, 9.1000, 0.3616, -1032.3900, 2189.9095, 20.0000, 35.4000, 0.0002, 0.4891, 109.8771, 0.7806, 0.1557, 59.0000, 0.0274, 9.9972, 1.6158, 7.5254, 6.7000, 34.2057, 9.0800, 17.2827, 20.0357, 91.0108, 12.0000, 0.0333, 0.6304
12, 9949, 5.0118, 5.0000, 0.0014, 0.0236, 11.9000, 0.3647, -819.6700, 2030.9263, 16.5000, 28.3333, 0.0003, 0.6250, 98.1405, 0.8351, 0.1413, 12.0000, 0.0435, 8.7791, 1.7176, 7.4706, 3.1000, 32.7637, 10.9600, 15.7282, 19.8039, 101.8947, 10.0000, 0.0000, 0.7614
13, 10504, 4.6207, 5.0000, 0.0006, 0.0171, 10.1000, 0.4286, -841.7200, 1996.4774, 14.0000, 29.0000, 0.0001, 0.4667, 122.9025, 0.8243, 0.1509, 53.0000, 0.0482, 10.1545, 1.6798, 6.7685, 6.2000, 35.2887, 9.4400, 15.5417, 20.4670, 81.3653, 15.0000, 0.0078, 0.6143
